type,speculative,scenario,avg_tokens_generated,acceptance_rate,accuracy,total_samples,peak_vram_gb,tokens_per_second,avg_ttft_ms,avg_itl_ms,total_duration_sec,system_efficiency
base,0,easy,511.216,0.0,0.249,1000,37.348427295684814,277.38954699477074,897596.9187009335,56.776902008704134,1842.9533684253693,0.0
base,0,hard,512.0,0.0,0.11200000000000002,1000,37.535550594329834,277.87245809529986,900579.2227067947,56.4289634302404,1842.571960926056,0.0
base,0,medium,512.0,0.0,0.21221374045801528,655,37.391000747680664,279.03896666056306,585196.2778983226,56.73032660096882,1201.839313030243,0.0
cod,0,easy,96.143,0.0,0.922,1000,37.31952524185181,237.70516418727416,189041.48427772522,64.18859816123341,404.4632363319397,0.0
cod,1,easy,96.259,0.8822596340988712,0.921,1000,38.750572204589844,363.4252822283757,138471.18443965912,43.20083217165915,264.8659977912903,0.4834649468938027
cod,0,hard,305.151,0.0,0.619,1000,37.43262815475464,265.9714961848548,599625.3537390232,59.38629721575728,1147.307152748108,0.0
cod,1,hard,304.14,0.8797564687975646,0.617,1000,38.74987030029297,435.2520229798995,377721.32024502754,36.82770386132824,698.767573595047,0.48155700190016854
cod,0,medium,164.96030534351146,0.0,0.8274809160305342,655,37.286516189575195,250.37198843004424,171368.57105284245,61.57877761933097,431.55386781692505,0.0
cod,1,medium,165.0229007633588,0.8895292314429604,0.8305343511450382,655,38.750572204589844,390.2957619913274,128691.04905528876,43.4329694265987,276.94382190704346,0.48725491076641186
cot,0,easy,113.904,0.0,0.755,1000,37.31952524185181,248.33899055262862,221881.45944976807,62.95545294484175,458.6633768081665,0.0
cot,1,easy,113.815,0.827255679769203,0.757,1000,38.750572204589844,351.3219645562342,168543.784740448,45.22134429628341,323.96209597587585,0.45201527164075284
cot,0,hard,311.246,0.0,0.505,1000,37.43262815475464,267.2102107532818,596329.3131453991,59.089480179580306,1164.7983028888702,0.0
cot,1,hard,311.361,0.8343647527157412,0.508,1000,38.750221252441406,414.34569467674646,399268.5834441185,38.944918552078164,751.4522390365601,0.45714361062315123
cot,0,medium,225.4534351145038,0.0,0.7755725190839695,655,37.286516189575195,259.7128911019195,237123.39700014537,60.03193387815852,568.5971126556396,0.0
cot,1,medium,225.70381679389314,0.8496702270472188,0.7786259541984732,655,38.750572204589844,390.5036736946074,175433.479313814,42.71522720153226,378.57774448394775,0.4642940895063176
